"CREATED_MONTH","CREATED_YEAR","RESOLVED_MONTH","RESOLVED_YEAR","CONFLICT_STATUS","DATA_FEED","COUNT_STATUS_PER_FEED"
4,2020,4,2020,"IGNORED","BLZ",3
4,2020,4,2020,"IGNORED","NK",39
4,2020,8,2020,"IGNORED","NB",1
4,2020,8,2020,"MANUAL UPDATE","LBR",4
4,2020,4,2020,"IGNORED","LBR",9
4,2020,4,2020,"MANUAL UPDATE","LBR",2
4,2020,6,2020,"IGNORED","LBR",2
4,2020,5,2020,"IGNORED","BLACKSEA",27
4,2020,4,2020,"IGNORED","ECU",1
4,2020,4,2020,"IGNORED","IB",5
4,2020,9,2020,"IGNORED","PI_AM",4
4,2020,4,2020,"MANUAL UPDATE","PI_AM",1
4,2020,4,2020,"IGNORED","DB",8
4,2020,,,"PENDING","BV",29
4,2020,7,2020,"MANUAL UPDATE","BV",7
4,2020,8,2020,"MANUAL UPDATE","BV",10
4,2020,6,2020,"IGNORED","NK",4
4,2020,9,2020,"IGNORED","PI_WE",12
4,2020,,,"PENDING","NIU",4
4,2020,7,2020,"MANUAL UPDATE","TU",1
4,2020,5,2020,"MANUAL UPDATE","DB",1
4,2020,9,2020,"IGNORED","MHL",2
4,2020,5,2020,"IGNORED","MHL",2
4,2020,4,2020,"IGNORED","AMSA",5
4,2020,5,2020,"IGNORED","PI_SK",42
4,2020,9,2020,"MANUAL UPDATE","PI_SK",126
4,2020,10,2020,"IGNORED","PI_SK",2
4,2020,8,2020,"IGNORED","NG",11
4,2020,4,2020,"IGNORED","OV",3
4,2020,4,2020,"IGNORED","BEL",3
4,2020,8,2020,"MANUAL UPDATE","PI_GA",27
4,2020,5,2020,"MANUAL UPDATE","PI_GA",11
4,2020,5,2020,"IGNORED","KNA",1
4,2020,5,2020,"MANUAL UPDATE","PI_SM",6
4,2020,4,2020,"IGNORED","HV",1
4,2020,4,2020,"IGNORED","PI_KO",1
4,2020,8,2020,"IGNORED","PLW",1
4,2020,8,2020,"MANUAL UPDATE","PI_SM",2
4,2020,9,2020,"IGNORED","CS",8
4,2020,6,2020,"IGNORED","LUX",1
4,2020,9,2020,"MANUAL UPDATE","LUX",1
4,2020,4,2020,"IGNORED","SYC",1
4,2020,8,2020,"IGNORED","KP",80
4,2020,10,2020,"IGNORED","KP",1
5,2020,5,2020,"IGNORED","KI",43
5,2020,5,2020,"IGNORED","AMSA",3
5,2020,6,2020,"IGNORED","LBR",9
5,2020,5,2020,"IGNORED","IR",8
5,2020,5,2020,"IGNORED","PI_KO",2
5,2020,5,2020,"MANUAL UPDATE","PI_SK",9
5,2020,5,2020,"IGNORED","DB",4
5,2020,9,2020,"MANUAL UPDATE","PI_WE",2
